pair_id	chapter	reader_label	full_label	reader_title	full_title	migration_status	proof_status	lean_status	lean_module	lean_decl	source_key	assumption_bundle	dependencies
TS-C07-SURPLUS-ENVELOPE	7	thmstar:surplus-envelope	thmfull:surplus-envelope	Expected-surplus envelope result	Convexity and envelope derivatives of expected surplus	planned	partial	planned			mcfadden1981	Finite alternatives; finite first moments; almost-sure unique maximizer; differentiability assumptions separated from twice differentiability	none
TS-C08-FIRM-DUALITY	8	thmstar:firm-duality	thmfull:firm-duality	Firm duality and envelope identities	Profit and cost value-function theorems	planned	partial	core_only	Econ803.Firm.Profit	profit_maximizer_is_subgradient	hotelling1932;shephard1953;mwg1995	Nonempty price-independent technology; finiteness and attainment; curvature and free-disposal assumptions only where used	none
TS-C09-PARTIAL-EQUILIBRIUM	9	thmstar:partial-equilibrium	thmfull:partial-equilibrium	Partial-market equilibrium and welfare	Existence; uniqueness; and planner implementation in the quasilinear market	planned	partial	planned			mwg1995	Named partial-market assumptions including curvature; endpoint or tail conditions; strict monotonicity only for uniqueness	TS-C10-FIRST-WELFARE
TS-C10-FIRST-WELFARE	10	thmstar:first-welfare	thmfull:first-welfare	First welfare theorem	Competitive equilibrium is Pareto efficient	planned	draft_complete	core_only	Econ803.Equilibrium.Welfare	priceSupport_rulesOut_paretoImprovement	mwg1995	Finite agents and firms; feasibility; exact ownership and budget equations; optimization; local nonsatiation; no convexity	none
TS-C10-SECOND-WELFARE	10	thmstar:second-welfare	thmfull:second-welfare	Second welfare theorem	Price support of Pareto-efficient allocations	planned	partial	planned			mwg1995	Convex preferences and technologies; closed aggregate attainable set; continuity; local nonsatiation; support or properness conditions	none
TS-C11-EXISTENCE	11	thmstar:walrasian-existence	thmfull:walrasian-existence	Existence of Walrasian equilibrium	Fixed-point existence in pure exchange	planned	delegated	planned			arrowdebreu1954;debreu1959	Finite pure exchange; positive aggregate endowment; continuous convex monotone preferences; normalized prices; strict convexity excluded	none
TS-C11-GROSS-SUBSTITUTES	11	thmstar:gross-substitutes	thmfull:gross-substitutes	Gross substitutes and price uniqueness	Normalized equilibrium-price uniqueness under strict gross substitutes	planned	partial	planned			mwg1995	Continuous aggregate excess demand; homogeneity; Walras law; exact strict-GS or irreducibility condition; positive normalized prices	TS-C11-EXISTENCE
TS-C11-SMD	11	thmstar:smd	thmfull:smd	Sonnenschein--Mantel--Debreu flexibility	A precise aggregate excess-demand realization theorem	source_gated	source_gated	none			sonnenschein1972;mantel1974;debreu1974	Commodity dimension; normalized price domain; regularity; Walras law; homogeneity; boundary behavior; exact global or compact-domain conclusion	none
TS-C12-BROWN-MATZKIN	12	thmstar:brown-matzkin	thmfull:brown-matzkin	Brown--Matzkin restrictions	Semialgebraic restrictions from finite equilibrium observations	source_gated	source_gated	none			brownmatzkin1996	Exact observables and latent variables; model class; invariance; regularity; and rationalizability quantifiers	none
TS-C13-ARROW-RADNER	13	thmstar:arrow-radner	thmfull:arrow-radner	Arrow--Radner allocation equivalence	State prices and sequential-budget equivalence	planned	partial	planned			radner1972	Finite states goods and assets; full-rank returns; no portfolio constraints; no arbitrage; positive state numeraires; monotone preferences	none
TS-C14-GALE-SHAPLEY	14	thmstar:gale-shapley	thmfull:gale-shapley	Deferred acceptance	Termination; stability; and proposer optimality	planned	partial	planned			galeshapley1962	Finite two-sided market; one fixed acceptability convention; strict preferences	none
TS-C14-TTC	14	thmstar:ttc	thmfull:ttc	Top trading cycles	Termination and the unique core allocation	planned	partial	planned			shapleyscarf1974	Finite agents and houses; one initial owner per house; strict complete preferences; exact blocking and core convention	none
