symbol	first_line	chapter	section	defined_before_use	status	scope_or_conflict	canonical_definition	anchor
$\sim$	335	Notation and Conventions	Global conventions	no	CONFLICT	Indifference here; the identical glyph means “is distributed as” at lines 5836 and 5838	Symmetric part of preference; separately record $Z\sim\mathcal D$ as distribution notation	not:indifference
$c,C$	341	Notation and Conventions	Global conventions	same-line	CONFLICT	Choice rules globally; $C$ is an integration constant at line 3850 and an attention-cost function at line 5859	Use lowercase $c$ for choice, $K_0$ for an integration constant, and $\mathcal C$ for information cost	not:choice-rule
$D_p x$	354	Notation and Conventions	Global conventions	same-line	OK	Jacobian convention is explicit	Jacobian of a vector-valued map with respect to prices	not:price-jacobian
$\nabla u$	359	Notation and Conventions	Global conventions	no	PARTIAL	Gradient is defined but $u$ is not yet identified as utility	Column gradient of scalar utility $u:X\to\mathbb R$	not:gradient
$\alpha$ (preference share)	514	Basics of Consumer Theory	Demand Functions	same-line	OVERLOADED	Also a scale factor, convex-combination weight, CCEI efficiency, and posterior weight	Preference-share parameter only; use $\tau$ for scaling and $\gamma$ for convex combinations or posterior weights	not:preference-share
HD0	570	Basics of Consumer Theory	Consistency in Consumption	same-line	OK	Acronym and equation are given	Homogeneity of degree zero: $x(\tau p,\tau w)=x(p,w)$ for every $\tau>0$	not:hd0
WARP	594	Basics of Consumer Theory	Consistency in Consumption	same-line	OK	Demand-function version is defined; abstract-choice version is restated at line 1579	Weak Axiom of Revealed Preference; definition depends on the declared choice domain	not:warp
$(p^*,w^*)$	602	Basics of Consumer Theory	Consistency in Consumption	no	CONFLICT	Used as a second observation despite the prime convention; star later denotes optimizers and reference points	Second price--wealth pair $(p',w')$; reserve star for an optimizer	not:alternative-price-wealth
$(p^t,x^t),t$	628	Basics of Consumer Theory	Consistency in Consumption	no	UNDEFINED	$t$ is used as an observation index long before $t\in\{1,\ldots,T\}$ is declared at line 4033	Observation $t$ with price $p^t$ and chosen bundle $x^t$, $t\in\{1,\ldots,T\}$	not:observation-index
$R^D$	632	Basics of Consumer Theory	Consistency in Consumption	same-line	INCONSISTENT	Direct revealed preference here; abstract choice uses $\succeq^D$ and $\succ^D$, while finite budgets later use $R^D$ and $P^D$	Adopt one pair throughout, preferably $\succeq^D$ and $\succ^D$, with the domain stated	not:direct-revealed-preference
$D_wx$	708	Basics of Consumer Theory	Comparative Statics and Slutsky Matrix	same-line	OK	Vector orientation is specified by its coordinates	Column vector of wealth derivatives	not:wealth-derivative
$S(p,w)$	717	Basics of Consumer Theory	Comparative Statics and Slutsky Matrix	same-line	CONFLICT	Slutsky matrix here; Varian's support set also uses $S(p,w)$ at line 4644	Slutsky matrix only; denote the support set by $\mathcal V(p,w)$ or $\mathcal X^{\mathrm V}(p,w)$	not:slutsky-matrix
$S_{\ell k}$	727	Basics of Consumer Theory	Comparative Statics and Slutsky Matrix	same-line	INCONSISTENT	Later written $S(p,w)_{\ell,k}$ and $s_{ij}$	Entry $[S(p,w)]_{\ell k}$, with commodity indices $\ell,k$	not:slutsky-entry
$\partial_z$	699	Basics of Consumer Theory	Comparative Statics and Slutsky Matrix	no	PARTIAL	Derivative notation is used without a general convention	Partial derivative with respect to scalar or coordinate $z$	not:partial-derivative
CLD	914	Basics of Consumer Theory	Comparative Statics and Slutsky Matrix	same-line	OK	Name and condition are supplied	Compensated Law of Demand	not:cld
$\gg0$	1248	Basics of Consumer Theory	Problems	no	UNDEFINED	First occurs in a problem and later alternates with membership in $\mathbb R_{++}^L$	Componentwise strict positivity: $p\gg0$ iff $p_\ell>0$ for every $\ell$	not:componentwise-positive
$\|\cdot\|$	2551	Consumer Theory: Utility Maximization	The Utility Maximization Problem	no	UNDEFINED	Norm is used in local nonsatiation without specifying it	Euclidean norm on $\mathbb R^L$	not:euclidean-norm
$\mathcal A$	1421	Preference and Choice	Choice environments	same-line	OK	Family of nonempty feasible menus	Menu domain $\mathcal A\subseteq2^X\setminus\{\varnothing\}$	not:menu-domain
$2^X$	1421	Preference and Choice	Choice environments	no	UNDEFINED	Power-set notation is not explained	Power set of $X$	not:power-set
$\rightrightarrows$	1430	Preference and Choice	Choice environments	no	PARTIAL	The surrounding definition implies a correspondence but the arrow convention is absent	Set-valued map or correspondence	not:correspondence-arrow
$\succeq^D,\succ^D$	1542	Preference and Choice	Revealed preference and WARP	same-line	INCONSISTENT	Well-defined abstract-choice notation, abandoned for $R^D,P^D$ in the finite-budget chapter	Direct weak and strict revealed preference; retain this notation in all revealed-preference chapters	not:abstract-direct-rp
$\succeq^*$	1568	Preference and Choice	Revealed preference and WARP	same-line	INCONSISTENT	Reflexive-transitive closure here; later $R$ is only called the transitive closure	Reflexive-transitive closure of direct revealed preference, preferably $\succeq^R$	not:indirect-revealed-preference
GARP	1654	Preference and Choice	GARP on finite data	same-line	OK	Defined for abstract finite data and later restated for budgets	Generalized Axiom of Revealed Preference	not:garp
$P$	1961	Consumer Theory: Utility Maximization	Chapter conventions	same-line	CONFLICT	Price domain; $P^D$ later denotes strict direct revealed preference	Strictly positive price domain $P=\mathbb R_{++}^L$; use $\succ^D$ instead of $P^D$	not:price-domain
$W$	1966	Consumer Theory: Utility Maximization	Chapter conventions	same-line	OK	Defined clearly	Positive wealth domain $W=\mathbb R_{++}$	not:wealth-domain
$\circ$	2000	Consumer Theory: Utility Maximization	Demand Correspondences	no	PARTIAL	Composition is standard but $c\circ B$ combines correspondences and deserves a type note	Composition of maps or correspondences	not:composition
$u$	359	Notation and Conventions	Global conventions	no	PARTIAL	First appears inside $\nabla u$; utility is typed only at lines 2170 and 2176	Utility representation $u:X\to\mathbb R$	not:utility-function
$I$ (symmetric relation)	2155	Consumer Theory: Utility Maximization	Utility Representation	no	CONFLICT	Conflicts with the global consumer count and later identity matrix	Do not introduce $I$; write the already-defined indifference relation $\sim$ and quotient $X/{\sim}$	not:indifference-classes
$X/I$	2160	Consumer Theory: Utility Maximization	Utility Representation	no	PARTIAL	Quotient is explained in prose but uses the conflicting $I$	Set of indifference classes $X/{\sim}$	not:preference-quotient
$\mathbb Q$	2165	Consumer Theory: Utility Maximization	Utility Representation	no	PARTIAL	Used as the codomain of an order embedding but absent from the notation conventions	Set of rational numbers	not:rational-numbers
$\arg\max$	2402	Consumer Theory: Utility Maximization	The Utility Maximization Problem	no	UNDEFINED	Set-valued operator is used while demand alternates between function and correspondence	Set of maximizers; use $\operatorname*{arg\,max}$ and state when it is a singleton	not:argmax
$\mathcal L$	2596	Consumer Theory: Utility Maximization	KKT Conditions for the UMP	same-line	OK	Lagrangian is displayed	UMP Lagrangian $u(x)+\lambda(w-p\cdot x)$	not:ump-lagrangian
$\lambda$	2596	Consumer Theory: Utility Maximization	KKT Conditions for the UMP	no	PARTIAL	Multiplier appears without its sign restriction in the stated UMP KKT system; reused for Afriat slopes and sparse-max normalization	Nonnegative budget multiplier in UMP; qualify other meanings by superscript or a different letter	not:kkt-multiplier
$x^*$	2603	Consumer Theory: Utility Maximization	KKT Conditions for the UMP	no	PARTIAL	Star is now an optimizer, unlike the alternative pair at line 602	Candidate or optimal bundle; reserve star consistently for optimizers	not:optimizer-star
MRS	2681	Consumer Theory: Utility Maximization	KKT Conditions for the UMP	same-line	OK	Expanded in prose	Marginal rate of substitution	not:mrs
$\bar v,L_{\bar v}$	2771	Consumer Theory: Utility Maximization	Properties of the Indirect Utility Function	no	PARTIAL	Lower contour set appears before $\bar v$ is explicitly fixed at line 2801	Utility cutoff and lower contour set $\{(p,w):v(p,w)\le\bar v\}$	not:indirect-lower-contour
$p_{-L},x_{-L}$	2898	Consumer Theory: Utility Maximization	Roy's Identity	no	UNDEFINED	Coordinate-deletion notation is used without definition	Vectors with the numeraire coordinate $L$ removed	not:minus-coordinate
$\bar u$	281	Notation and Conventions	Global conventions	no	PARTIAL	Used as an argument of $h$ and $e$ but only described as a required utility at line 2934	Target utility level in the attainable range	not:utility-target
$\arg\min$	3228	Consumer Theory: Utility Maximization	Hicksian Compensated Demand	no	UNDEFINED	Set-valued operator not defined	Set of minimizers; use $\operatorname*{arg\,min}$ and state singleton conditions	not:argmin
$D_p^2e$	3486	Consumer Theory: Utility Maximization	Additional Properties	no	PARTIAL	Hessian notation is not included in the global derivative conventions	Price Hessian of the expenditure function	not:price-hessian
NSD	1082	Basics of Consumer Theory	Comparative Statics and Slutsky Matrix	no	PARTIAL	Negative semidefiniteness is asserted here, formally defined only at line 3500, and abbreviated NSD at line 3528	Negative semidefinite symmetric matrix	not:nsd
$A$ (matrix)	3506	Consumer Theory: Utility Maximization	Additional Properties	same-line	SCOPED	Also the generic menu symbol in Preference and Choice	Generic symmetric matrix only within the definition; use $H$ if retained near menu notation	not:generic-matrix
$s_{ij}$	3734	Consumer Theory: Utility Maximization	Integrability	same-line	CONFLICT	Lowercase entry and $i,j$ conflict with $S_{\ell k}$ and global consumer/firm indices	Write $[S(p,w)]_{\ell k}$ with commodity indices throughout	not:slutsky-entry-scalar
$\mu$	3804	Consumer Theory: Utility Maximization	Examples and Applications of Demand Integrability	no	UNDEFINED	Economic meaning and domain are never stated; arity shifts from $\mu(p_1,1)$ to $\mu(p_1)$ and then $\mu(p^*,p_1,w)$ at line 3925	Define an expenditure/wealth solution along a normalized price path, including its domain, initial condition, and fixed reference price	not:integrability-wealth-path
$\ln,\log$	3850	Consumer Theory: Utility Maximization	Examples and Applications of Demand Integrability	no	PARTIAL	Both forms appear; the base is unstated and matters for information units later	Natural logarithm throughout; information costs are measured in nats unless explicitly stated otherwise	not:natural-log
$\exp$	3875	Consumer Theory: Utility Maximization	Examples and Applications of Demand Integrability	no	PARTIAL	Standard operator, but the relation to the chosen logarithm convention should be explicit	Natural exponential, inverse of $\log$	not:exponential
$K$	3865	Consumer Theory: Utility Maximization	Examples and Applications of Demand Integrability	same-line	CONFLICT	Integration constant here, observation count in $K+1$ at line 4633, and information capacity at line 5881	Use $K_0$ for integration constant, $T+1$ for the new observation, and $\mathcal K$ for capacity	not:integration-constant
$\hat c$	4012	Consumer Theory: Utility Maximization	Examples and Applications of Demand Integrability	same-line	OK	Defined explicitly as a Cobb--Douglas normalization	Positive normalization constant $[\alpha^\alpha(1-\alpha)^{1-\alpha}]^{-1}$	not:cobb-normalization
$\mathcal O$	4033	Consumer Theory: Utility Maximization	Generalized Axiom of Revealed Preference (GARP)	same-line	OK	Dataset is typed explicitly	Finite price--choice dataset $\{(p^t,x^t)\}_{t=1}^T$	not:dataset
$T$	4033	Consumer Theory: Utility Maximization	Generalized Axiom of Revealed Preference (GARP)	same-line	INCONSISTENT	Observation count, but Varian support section switches to undefined $K+1$	Number of observations; use the new index $T+1$ consistently	not:observation-count
$R$	4078	Consumer Theory: Utility Maximization	Generalized Axiom of Revealed Preference (GARP)	same-line	INCONSISTENT	Transitive closure of $R^D$; the abstract chapter used $\succeq^*$ for reflexive-transitive closure; $R$ is later also a group label	Use $\succeq^R$ for the reflexive-transitive closure and reserve $R$ from group labels	not:revealed-closure
$P^D$	4156	Consumer Theory: Utility Maximization	Generalized Axiom of Revealed Preference (GARP)	same-line	INCONSISTENT	Strict direct revealed preference conflicts visually with price domain $P$ and abstract $\succ^D$	Use $\succ^D$ throughout	not:strict-direct-rp
$u^t$	4258	Consumer Theory: Utility Maximization	Generalized Axiom of Revealed Preference (GARP)	same-line	SCOPED	Afriat utility numbers; later $u^0,u^1$ are policy utility levels	Afriat utility number assigned to observation $t$	not:afriat-utility-number
$\lambda^t$	4262	Consumer Theory: Utility Maximization	Generalized Axiom of Revealed Preference (GARP)	same-line	SCOPED	Afriat positive slopes, distinct from KKT multiplier	Positive Afriat multiplier for observation $t$	not:afriat-multiplier
$S(p^{K+1},w^{K+1})$	4644	Consumer Theory: Utility Maximization	Forecasting with Varian's Support Set	no	CONFLICT	Reuses the Slutsky symbol and introduces $K$ although data size is $T$	Varian support set $\mathcal V(p^{T+1},w^{T+1})$	not:varian-support-set
$m(p,x)$	4672	Consumer Theory: Utility Maximization	Upper Bounds for Welfare Analysis	same-line	CONFLICT	Money-metric utility; $m$ soon denotes an attention vector and Bayesian weight	Use $\mu_p(x)=e(p,u(x))$ for money-metric utility	not:money-metric-utility
$m^+(p,x)$	4721	Consumer Theory: Utility Maximization	Upper Bounds for Welfare Analysis	same-line	PARTIAL	Upper bound is defined but inherits the overloaded $m$	Use $\mu_p^+(x)$ for Varian's upper money-metric bound	not:money-metric-upper-bound
$\pi_s$	4776	Consumer Theory: Utility Maximization	Experiments about Testing Rationality	no	PARTIAL	Values are supplied but $\pi_s$ is not first declared as the probability of state $s$	Known probability of state $s$	not:state-probability
$R_\alpha^D,P_\alpha^D,R_\alpha$	4889	Consumer Theory: Utility Maximization	Afriat's Cost-Efficiency Index	same-line	INCONSISTENT	Efficiency-adjusted versions inherit the inconsistent $R/P$ revealed-preference notation	Use $\succeq_\alpha^D,\succ_\alpha^D,\succeq_\alpha^R$	not:efficiency-adjusted-rp
$\alpha$ (efficiency)	4879	Consumer Theory: Utility Maximization	Afriat's Cost-Efficiency Index	same-line	CONFLICT	Same symbol as Cobb--Douglas share, scaling parameter, and posterior weight	Efficiency retention fraction $\alpha\in[0,1]$; consider $e$ or $\eta$ if global disambiguation is desired	not:afriat-efficiency
$\operatorname{CCEI}$	4929	Consumer Theory: Utility Maximization	Afriat's Cost-Efficiency Index	same-line	OK	Fully defined	Critical Cost Efficiency Index	not:ccei
$\sup$	4929	Consumer Theory: Utility Maximization	Afriat's Cost-Efficiency Index	no	PARTIAL	Standard operator but useful in a glossary because the supremum need not be attained	Least upper bound of a set of real numbers	not:supremum
$n$	5020	Consumer Theory: Utility Maximization	Measurement Error	same-line	SCOPED	Number of individuals here; $n$ previously indexes convergent sequences	Sample size; prefer $N$ for subjects if sequence indices remain $n$	not:sample-size
$w_t^c,w_t^p$	5048	Consumer Theory: Utility Maximization	Measurement Error	same-line	CONFLICT	Measurement errors use the global wealth symbol; superscript/subscript observation indexing also changes from $(p^t,x^t)$	Consumption and price errors $\eta_t^x,\eta_t^p$; retain one observation-index convention	not:measurement-error
$\mathbb E$	5085	Consumer Theory: Utility Maximization	Measurement Error	no	UNDEFINED	Expectation operator first appears without a convention	Expectation under the probability law stated in the surrounding model	not:expectation
$p^{\mathrm{ref}}$	5186	Consumer Theory: Utility Maximization	Welfare Evaluation	same-line	PARTIAL	Defined in prose, but source uses italic $ref$ rather than $\mathrm{ref}$	Reference price vector used to express utility in money units	not:reference-price
$\Delta w$	5296	Consumer Theory: Utility Maximization	Welfare Evaluation	same-line	PARTIAL	Called a wealth change in prose but its sign orientation is not stated at first use	Compensating wealth adjustment added to initial wealth under the stated welfare sign convention	not:wealth-adjustment
$\operatorname{EV}$	5262	Consumer Theory: Utility Maximization	Welfare Evaluation	same-line	OK	Formula and sign convention are supplied	Equivalent variation under the book's stated sign convention	not:equivalent-variation
$\operatorname{CV}$	5310	Consumer Theory: Utility Maximization	Welfare Evaluation	same-line	OK	Formula and sign convention are supplied	Compensating variation under the book's stated sign convention	not:compensating-variation
$g$	2894	Consumer Theory: Utility Maximization	Roy's Identity	same-line	PARTIAL	Subutility is introduced by formula but its domain/codomain and regularity are not stated	Non-numeraire subutility $g:\mathbb R_+^{L-1}\to\mathbb R$	not:quasilinear-subutility
$\widehat p$	5690	Behavioral Economics: Sparse-Max and Rational Inattention	The Sparse-Max Decision Rule	same-line	OK	Defined as perceived prices	Strictly positive perceived-price vector	not:perceived-price
$x^s$	5713	Behavioral Economics: Sparse-Max and Rational Inattention	The Sparse-Max Decision Rule	same-line	CONFLICT	Superscript $s$ previously indexes observations in GARP	Sparse-max demand; write $x^{\mathrm{SM}}(p,\widehat p,w)$	not:sparse-max-demand
$x^r$	5720	Behavioral Economics: Sparse-Max and Rational Inattention	The Sparse-Max Decision Rule	same-line	PARTIAL	Called rational demand but its connection with earlier Marshallian $x$ is not formalized	Benchmark Marshallian demand; write $x^{\mathrm M}(\widehat p,\widetilde w)$	not:rational-demand
$\widetilde w$	5720	Behavioral Economics: Sparse-Max and Rational Inattention	The Sparse-Max Decision Rule	same-line	OK	Defined by the actual-budget normalization equation	Counterfactual wealth at perceived prices that reproduces the sparse bundle	not:perceived-wealth
$p^d$	5778	Behavioral Economics: Sparse-Max and Rational Inattention	Perceived Prices and Limited Attention	same-line	OK	Defined as default price	Strictly positive default-price vector	not:default-price
$m_\ell,m$	5785	Behavioral Economics: Sparse-Max and Rational Inattention	Perceived Prices and Limited Attention	same-line	CONFLICT	Attention weights conflict with money-metric $m$ and posterior weight $m$ in the next section	Component attention weights $a_\ell\in[0,1]$ and vector $a=(a_1,\ldots,a_L)$	not:price-attention
$M$	5796	Behavioral Economics: Sparse-Max and Rational Inattention	Perceived Prices and Limited Attention	same-line	OK	Diagonal attention matrix is defined	$\operatorname{diag}(m_1,\ldots,m_L)$; rename $A_m$ if weights become $a_\ell$	not:attention-matrix
$\operatorname{diag}$	5796	Behavioral Economics: Sparse-Max and Rational Inattention	Perceived Prices and Limited Attention	no	PARTIAL	Operator is standard but not included in the global conventions	Diagonal matrix with the listed diagonal entries	not:diagonal-operator
$I$ (identity)	5798	Behavioral Economics: Sparse-Max and Rational Inattention	Perceived Prices and Limited Attention	no	CONFLICT	Dimension is unstated and glyph conflicts with consumer count and indifference relation	$L\times L$ identity matrix $I_L$	not:identity-matrix
$r(\widehat p,\lambda)$	5804	Behavioral Economics: Sparse-Max and Rational Inattention	Perceived Prices and Limited Attention	same-line	PARTIAL	Tangency map is described but its domain, codomain, and distinction from $x^r$ are unclear	Bundle solving the perceived-price tangency equations, $r:\mathbb R_{++}^L\times\mathbb R_{++}\to X$	not:tangency-map
$S^s,S^r$	5821	Behavioral Economics: Sparse-Max and Rational Inattention	Perceived Prices and Limited Attention	no	UNDEFINED	Invoked in a caveat but neither matrix is defined	Sparse and rational Slutsky-type matrices, or delete the symbolic identity and state the caveat in prose	not:behavioral-slutsky
$\mathcal N(\mu,\sigma^2)$	5836	Behavioral Economics: Sparse-Max and Rational Inattention	Endogenizing Attention	no	UNDEFINED	Normal-distribution convention is standard but absent from notation chapter	Normal law with mean $\mu$ and variance $\sigma^2$	not:normal-law
$\theta,\theta^d,\sigma_\theta^2$	5836	Behavioral Economics: Sparse-Max and Rational Inattention	Endogenizing Attention	same-line	OK	State, prior mean, and prior variance are readable from the distribution	Unknown state, default/prior mean, and prior variance	not:gaussian-state
$Y,\varepsilon,\sigma_\varepsilon^2$	5837	Behavioral Economics: Sparse-Max and Rational Inattention	Endogenizing Attention	same-line	OK	Signal and independent Gaussian noise are defined	Signal $Y=\theta+\varepsilon$ and noise variance	not:gaussian-signal
$\ell(a,\theta)$	5840	Behavioral Economics: Sparse-Max and Rational Inattention	Endogenizing Attention	same-line	CONFLICT	Quadratic-loss function reuses the commodity-index glyph $\ell$	Quadratic loss; use $\mathscr L(a,\theta)=\tfrac12(a-\theta)^2$	not:quadratic-loss
$a^*(y)$	5848	Behavioral Economics: Sparse-Max and Rational Inattention	Endogenizing Attention	same-line	OK	Defined as posterior-mean action	Bayes-optimal action after signal realization $y$	not:posterior-action
$\mathbb E[\cdot\mid\cdot]$	5848	Behavioral Economics: Sparse-Max and Rational Inattention	Endogenizing Attention	no	PARTIAL	Conditional expectation is used without global operator convention	Conditional expectation under the stated joint law	not:conditional-expectation
$m$ (posterior weight)	5849	Behavioral Economics: Sparse-Max and Rational Inattention	Endogenizing Attention	same-line	CONFLICT	Immediately follows vector attention $m$ and earlier money metric $m$	Gaussian posterior weight $\gamma=\sigma_\theta^2/(\sigma_\theta^2+\sigma_\varepsilon^2)$	not:posterior-weight
$C(m)$	5859	Behavioral Economics: Sparse-Max and Rational Inattention	Endogenizing Attention	same-line	CONFLICT	Information cost reuses global choice-rule $C$ and integration constant $C$	Increasing information-cost function $\mathcal C(m)$	not:attention-cost
$\kappa$	5872	Behavioral Economics: Sparse-Max and Rational Inattention	Endogenizing Attention	same-line	OK	Positive-cost interpretation is evident but positivity should be stated	Strictly positive information-cost parameter	not:attention-cost-parameter
$K$ (capacity)	5881	Behavioral Economics: Sparse-Max and Rational Inattention	Endogenizing Attention	same-line	CONFLICT	Same glyph as integration constant and erroneous new-observation count	Nonnegative information capacity $\mathcal K$	not:information-capacity
$Q,G,q_G,\sigma_q^2$	5896	Behavioral Economics: Sparse-Max and Rational Inattention	Discrimination with Rational Inattention	same-line	CONFLICT	$G$ is group, but labels $R,B$ collide with revealed-preference relation and budget set	Productivity $Q$ and group $G\in\{0,1\}$ with group prior mean $q_g$ and variance $\sigma_q^2$	not:hiring-prior
$m_G(y)$	5917	Behavioral Economics: Sparse-Max and Rational Inattention	Discrimination with Rational Inattention	same-line	CONFLICT	Posterior mean reuses $m$ yet again	Posterior mean $\mu_g(y)=\mathbb E[Q\mid Y=y,G=g]$	not:hiring-posterior
$\alpha$ (signal weight)	5917	Behavioral Economics: Sparse-Max and Rational Inattention	Discrimination with Rational Inattention	same-line	CONFLICT	Same glyph as preference share and CCEI efficiency	Signal weight $\gamma_q=\sigma_q^2/(\sigma_q^2+\sigma_\varepsilon^2)$	not:hiring-signal-weight
$y_G$	5928	Behavioral Economics: Sparse-Max and Rational Inattention	Discrimination with Rational Inattention	same-line	OK	Threshold formula is explicit	Group-specific hiring-signal threshold	not:hiring-threshold
