symbol	first_line	chapter	section	defined_before_use	status	scope_or_conflict	canonical_definition	anchor
$\arg\max$	9115	Theory of the Firm	Profit maximization	no	STANDARD	Optimizer-set operator should remain typographically distinct from a single-valued selection.	$\arg\max_{a\in A}g(a):=\{a\in A:g(a)=\sup_{b\in A}g(b)\}$.	not:argmax
$y(p)$	9115	Theory of the Firm	Profit maximization	yes	CONFLICT	Declared a correspondence but later equated to a vector in Hotelling's lemma and reused with membership notation.	$\mathcal Y(p):=\arg\max_{y\in Y}p\cdot y$; use $y(p)$ only for a declared single-valued selection.	not:supply-correspondence
$\nabla_p$	9132	Theory of the Firm	Profit maximization	no	STANDARD	The subscript is omitted in $\nabla\pi$ but included for later value functions.	$\nabla_p g$ is the gradient of scalar $g$ with respect to the price vector $p$.	not:gradient
$D_p,D_p^2$	9135	Theory of the Firm	Profit maximization	no	STANDARD	Jacobian/Hessian notation is conventional but alternates later with $D$ without a subscript.	$D_pg$ is the Jacobian in $p$ and $D_p^2g$ the Hessian when $g$ is scalar.	not:price-derivatives
$p$ (single-output price)	9159	Theory of the Firm	Profit maximization	no	OVERLOADED	The vector $p$ changes type to a scalar without a fresh declaration.	In a single-output subsection, declare $p_q\in\mathbb R_{++}$ as the output price.	not:output-price
$q$ (scalar output)	9157	Theory of the Firm	Profit maximization	no	OVERLOADED	The output vector $q\in\mathbb R_+^M$ silently changes to a scalar in the single-output model.	$q\in\mathbb R_+$ is scalar output in a declared single-output subsection.	not:scalar-output
$w$ (input-price vector)	9159	Theory of the Firm	Profit maximization	no	LATE_DEFINED	Used before line 9179 defines it; later $w$ is a scalar wage and $w_i$ wealth/income.	$w^{\mathrm{in}}\in\mathbb R_{++}^{L-M}$ is the input-price vector; reserve $m_i$ or $W_i$ for wealth.	not:input-prices
$c(w,q)$	9183	Theory of the Firm	Cost minimization	yes	OK	Cost value function; $c_j$ later denotes a firm's scalar cost function.	$c(w,q):=\min\{w\cdot v:v\geq0,\ f(v)\geq q\}$.	not:cost-function
$z(w,q)$	9191	Theory of the Firm	Cost minimization	yes	CONFLICT	Conditional factor-demand correspondence uses the same $z$ later reserved for excess demand.	$\mathcal V(w,q):=\arg\min\{w\cdot v:v\geq0,\ f(v)\geq q\}$; use $v(w,q)$ only when unique.	not:conditional-factor-demand
$\lambda$ (KKT multiplier)	9194	Theory of the Firm	Cost minimization	no	UNDERDEFINED	Appears in the KKT system without a sentence assigning it to the output constraint; $\lambda$ is also price scale and later an Afriat multiplier.	$\lambda_q\geq0$ is the multiplier on $f(v)\geq q$ in the cost problem.	not:cost-kkt-multiplier
$\gg0$	9179	Theory of the Firm	Cost minimization	no	STANDARD	Strong vector inequality recurs throughout the book.	For a vector $a$, $a\gg0$ means $a_\ell>0$ for every coordinate.	not:strong-positivity
$J$	9242	Theory of the Firm	Aggregation and efficiency	yes	OK	Number of firms.	$\mathcal J=\{1,\dots,J\}$ indexes firms.	not:firm-count
$Y_j$	9243	Theory of the Firm	Aggregation and efficiency	yes	OK	Firm-specific technology.	$Y_j\subseteq\mathbb R^L$ is firm $j$'s production set.	not:firm-technologies
$\sum_jY_j$	9246	Theory of the Firm	Aggregation and efficiency	yes	OK	Minkowski sum is named in prose.	$\sum_{j=1}^JY_j:=\{\sum_jy_j:y_j\in Y_j\}$ is aggregate technology.	not:minkowski-technology
$\pi_Y$	9255	Theory of the Firm	Aggregation and efficiency	no	UNDERDEFINED	The subscripted value function is inferable but not explicitly defined before the proposition.	$\pi_Y(p):=\sup_{y\in Y}p\cdot y$.	not:aggregate-profit
$y_Y(p)$	9255	Theory of the Firm	Aggregation and efficiency	no	CONFLICT	The displayed equality is equality of sets, but lowercase $y$ looks like a selected vector; prose repairs this only after the display.	$\mathcal Y_Y(p)=\sum_j\mathcal Y_{Y_j}(p)$ is equality of aggregate supply correspondences.	not:aggregate-supply
$\alpha,\beta$	9316	Theory of the Firm	Problems	yes	LOCAL_OK	Problem 8.1 parameters only.	$\alpha,\beta>0$ are Cobb--Douglas output elasticities in Problem 8.1.	not:problem-8-1-cd
$I$	9518	Competitive Markets and Partial Equilibrium	Competitive equilibrium	yes	OVERLOADED	Number of consumers here; $I_L$ later is an identity matrix and $I$ an un-subscripted indifference relation in Problem A.2.	$\mathcal I=\{1,\dots,I\}$ is the consumer set; avoid bare $I$ for indifference.	not:consumers
$X_i$	9522	Competitive Markets and Partial Equilibrium	Competitive equilibrium	yes	OVERLOADED	Consumption set; specialized to $\mathbb R\times\mathbb R_+$ at 9575 and unrelated to CGE exports $X_j$.	$X_i\subseteq\mathbb R^L$ is consumer $i$'s consumption set.	not:consumption-set
$\succeq_i$	9523	Competitive Markets and Partial Equilibrium	Competitive equilibrium	yes	OK	Weak preference orientation is consistent with the order-theory appendix.	$x\succeq_i y$ means consumer $i$ ranks $x$ at least as high as $y$.	not:weak-preference
$\omega_i$	9524	Competitive Markets and Partial Equilibrium	Competitive equilibrium	yes	OK	Individual endowment; later observation superscripts require a separate convention.	$\omega_i\in\mathbb R^L$ is consumer $i$'s endowment.	not:individual-endowment
$\omega$	9527	Competitive Markets and Partial Equilibrium	Competitive equilibrium	yes	OK	Aggregate endowment.	$\omega:=\sum_i\omega_i$.	not:aggregate-endowment
$(x,y)$ (allocation)	9532	Competitive Markets and Partial Equilibrium	Competitive equilibrium	yes	OK	Consumer bundles and firm plans are grouped into one allocation.	$x=(x_i)_{i\in\mathcal I}$ and $y=(y_j)_{j\in\mathcal J}$ denote consumption and production profiles.	not:allocation-profile
$\theta_{ij}$	9554	Competitive Markets and Partial Equilibrium	Competitive equilibrium	no	LATE_DEFINED	First appears inside the consumer budget at line 9554; ownership shares are explained only at lines 9560--9561.	$\theta_{ij}\in[0,1]$ is consumer $i$'s share of firm $j$, with $\sum_i\theta_{ij}=1$.	not:ownership-shares
$\lambda$ (price scale)	9569	Competitive Markets and Partial Equilibrium	Competitive equilibrium	yes	OVERLOADED	Positive price-normalization scalar; conflicts with KKT and Afriat multipliers.	$a>0$ is the price-scale factor in $(ap,x^*,y^*)$.	not:price-scale
$x$ (partial-equilibrium good)	9585	Competitive Markets and Partial Equilibrium	Partial equilibrium with a numeraire	yes	OVERLOADED	Commodity name and later individual quantity $x_i$; clear locally but conflicts with generic bundle $x$.	Use $q_i^d$ for individual demand for the nonnumeraire good, or explicitly scope $x_i\in\mathbb R_+$.	not:partial-good
$m$	9586	Competitive Markets and Partial Equilibrium	Partial equilibrium with a numeraire	yes	OK	Numeraire commodity/holding.	$m_i\in\mathbb R$ is consumer $i$'s holding of the numeraire, whose price is one.	not:numeraire
$u_i,\phi_i$	9589	Competitive Markets and Partial Equilibrium	Partial equilibrium with a numeraire	yes	OK	Utility and surplus component are defined together.	$u_i(m_i,x_i)=m_i+\phi_i(x_i)$, with $\phi_i:\mathbb R_+\to\mathbb R$.	not:quasilinear-utility
$p$ (partial-equilibrium price)	9595	Competitive Markets and Partial Equilibrium	Partial equilibrium with a numeraire	yes	OVERLOADED	Scalar price of the nonnumeraire good; $p$ is a vector in the surrounding general model.	$p_x>0$ is the scalar price of the partial-equilibrium good.	not:partial-price
$q_j$	9602	Competitive Markets and Partial Equilibrium	Partial equilibrium with a numeraire	yes	OVERLOADED	Firm-specific scalar output; $q$ previously denotes vector output and later asset prices.	$q_j\geq0$ is firm $j$'s scalar output of the nonnumeraire good.	not:partial-output
$c_j(q_j)$	9604	Competitive Markets and Partial Equilibrium	Partial equilibrium with a numeraire	yes	OK	Scalar production cost for firm $j$.	$c_j:\mathbb R_+\to\mathbb R_+$ is firm $j$'s numeraire cost of output $q_j$.	not:partial-cost
$z_j$ (numeraire input)	9606	Competitive Markets and Partial Equilibrium	Partial equilibrium with a numeraire	no	CONFLICT	Introduced only inside $Y_j$ and then $z$ immediately becomes excess demand at 9635.	Use $a_j$ or $m_j^{\mathrm{in}}$ for the numeraire input satisfying $a_j\geq c_j(q_j)$.	not:partial-numeraire-input
$x_i(p),q_j(p)$	9643	Competitive Markets and Partial Equilibrium	Partial equilibrium with a numeraire	yes	OK	Unique individual demand and supply functions.	$x_i(p):=\arg\max_{x\geq0}\{\phi_i(x)-px\}$ and $q_j(p):=\arg\max_{q\geq0}\{pq-c_j(q)\}$, interpreted as singleton choices.	not:partial-demand-supply
$z(p)$ (partial excess demand)	9649	Competitive Markets and Partial Equilibrium	Partial equilibrium with a numeraire	yes	OVERLOADED	Scalar here; vector aggregate excess demand in Chapter 11; $z$ was an input vector earlier.	$z^{PE}(p):=\sum_i x_i(p)-\sum_jq_j(p)\in\mathbb R$.	not:partial-excess-demand
$\omega_{mi}$	9672	Competitive Markets and Partial Equilibrium	Partial equilibrium with a numeraire	no	UNDEFINED	Numeraire endowment appears only in the recovery identity.	$\omega_{mi}\in\mathbb R$ is consumer $i$'s initial numeraire endowment.	not:numeraire-endowment
$\mu$ (planner multiplier)	9709	Competitive Markets and Partial Equilibrium	Welfare in the partial model	yes	OVERLOADED	Resource multiplier here; later $\mu_i$ supports Pareto efficiency and $\mu$ is a matching.	$\mu\geq0$ is the KKT multiplier on $\sum_i x_i\leq\sum_jq_j$.	not:partial-planner-multiplier
$Q^d$	9762	Competitive Markets and Partial Equilibrium	Problems	yes	LOCAL_OK	Problem 9.1 linear market demand only.	$Q^d(p):=a-bp$ on its nonnegative economic range.	not:problem-9-1-demand
$Q^s$	9765	Competitive Markets and Partial Equilibrium	Problems	yes	LOCAL_OK	Problem 9.1 linear market supply only.	$Q^s(p):=d(p-c)$ on its nonnegative economic range.	not:problem-9-1-supply
$a,b$	9762	Competitive Markets and Partial Equilibrium	Problems	yes	LOCAL_OK	Demand parameters are constrained after first appearing in the model formula.	$a,b>0$ parameterize Problem 9.1 demand.	not:problem-9-1-demand-parameters
$c,d$	9765	Competitive Markets and Partial Equilibrium	Problems	yes	LOCAL_OK	Supply parameters are constrained after first appearing in the model formula.	$d>0$ and $c\geq0$ parameterize Problem 9.1 supply.	not:problem-9-1-supply-parameters
$t$ (unit tax)	9812	Competitive Markets and Partial Equilibrium	Problems	yes	LOCAL_OK	Problem 9.2 tax; $t$ later indexes observations, so its locality should be explicit.	$t>0$ is the per-unit tax paid by sellers.	not:problem-9-2-tax
$p_b$	9815	Competitive Markets and Partial Equilibrium	Problems	yes	LOCAL_OK	Buyer price in the tax exercise.	$p_b$ is the price paid by buyers.	not:problem-9-2-buyer-price
$p_s$	9818	Competitive Markets and Partial Equilibrium	Problems	yes	LOCAL_OK	Seller price in the tax exercise.	$p_s:=p_b-t$ is the net price received by sellers.	not:problem-9-2-seller-price
$u(q)$	9862	Competitive Markets and Partial Equilibrium	Problems	yes	LOCAL_OK	Problem 9.3 gross utility.	$u(q)$ is gross utility from the nonnumeraire quantity.	not:problem-9-3-utility
$C(q)$	9868	Competitive Markets and Partial Equilibrium	Problems	yes	LOCAL_OK	Problem 9.3 production cost; uppercase $C$ should remain problem-local.	$C(q)$ is production cost in the representative-agent exercise.	not:problem-9-3-cost
$\omega_{\ell i}$	9934	General Equilibrium Theory	Pure exchange economies: the Edgeworth box	no	INCONSISTENT	Coordinate-first endowment indices conflict with entity-first $x_{is},\omega_{is}$ in Sequential Trade and with the generic bundle $\omega_i$.	Use entity-first indexing $\omega_{i\ell}$ throughout.	not:bundle-index-order
$(x_1,x_2)$ (consumer-allocation profile)	9938	General Equilibrium Theory	Pure exchange economies: the Edgeworth box	yes	CONFLICT	Here subscripts identify consumers; in the next section $x_1,x_2$ identify leisure and consumption goods.	Write $x=(x_i)_{i=1}^2$ and use named scalar goods later.	not:edgeworth-allocation-profile
$B_i(p)$	9949	General Equilibrium Theory	Pure exchange economies: the Edgeworth box	yes	OK	Walrasian budget set in pure exchange.	$B_i(p):=\{x_i\in X_i:p\cdot x_i\leq p\cdot\omega_i\}$.	not:exchange-budget
$x_{\ell i}$	9972	General Equilibrium Theory	Pure exchange economies: the Edgeworth box	no	INCONSISTENT	Coordinate-first consumption indices conflict with $x_i$ bundles and later $x_{is}$.	Use $x_{i\ell}$ for good $\ell$ consumed by consumer $i$.	not:consumption-index-order
$\alpha$ (Cobb--Douglas share)	9972	General Equilibrium Theory	Pure exchange economies: the Edgeworth box	yes	LOCAL_OK	Example-specific taste parameter.	$\alpha\in(0,1)$ is the expenditure share on good 1 in the Cobb--Douglas example.	not:edgeworth-cd-share
$j$ in $x_j'\succ_jx_j$	10002	General Equilibrium Theory	Pure exchange economies: the Edgeworth box	no	UNDEFINED	The Pareto definition quantifies “both consumers” with $i$ but uses an unbound $j$ for the strict improver.	Replace by “$\exists i\in\{1,2\}$ such that $x_i'\succ_i x_i$.”	not:pareto-strict-improver
$T_i$	10032	General Equilibrium Theory	Pure exchange economies: the Edgeworth box	no	UNDERDEFINED	Transfers appear only through $T_1+T_2=0$; the sign convention is unstated.	$T_i\in\mathbb R$ is a lump-sum wealth transfer to consumer $i$, positive when received, with $\sum_iT_i=0$.	not:lump-sum-transfer
$\bar N$	10042	General Equilibrium Theory	One consumer and one producer	yes	OK	Time/labor endowment.	$\bar N>0$ is the consumer's total time endowment.	not:time-endowment
$x_1$ (leisure)	10043	General Equilibrium Theory	One consumer and one producer	yes	CONFLICT	Immediately follows a section where $x_1$ denotes consumer 1's bundle.	Use $\ell$ for leisure in the one-consumer model.	not:leisure
$x_2$ (consumption)	10044	General Equilibrium Theory	One consumer and one producer	yes	CONFLICT	Immediately follows a section where $x_2$ denotes consumer 2's bundle.	Use $c$ for consumption in the one-consumer model.	not:one-consumer-consumption
$z$ (labor input)	10045	General Equilibrium Theory	One consumer and one producer	yes	CONFLICT	Another meaning of $z$, distinct from production inputs generally and excess demand.	Use $n\geq0$ for labor supplied to the firm.	not:labor-input
$p$ (one-firm output price)	10048	General Equilibrium Theory	One consumer and one producer	yes	OVERLOADED	Scalar here while $p$ is usually a vector.	$p_c>0$ is the consumption-good price.	not:one-firm-output-price
$w$ (wage)	10049	General Equilibrium Theory	One consumer and one producer	yes	OVERLOADED	Scalar wage here; input-price vector and wealth use the same glyph elsewhere.	$w_N>0$ is the wage.	not:one-firm-wage
$\pi(p,w)$	10063	General Equilibrium Theory	One consumer and one producer	yes	OK	Two-price profit function is introduced by prose but not written as a maximized value.	$\pi(p_c,w_N):=\max_{n\geq0}\{p_cf(n)-w_Nn\}$.	not:one-firm-profit
$X,u$	10069	General Equilibrium Theory	One consumer and one producer	no	UNDEFINED	Consumption set and utility function enter the consumer problem without any domain or preference assumptions until the following proposition.	Declare $X\subseteq[0,\bar N]\times\mathbb R_+$ and $u:X\to\mathbb R$ before the maximization problem.	not:one-consumer-primitives
$u_i$ (utility representation)	10153	General Equilibrium Theory	Production, ownership, and feasibility	no	UNDEFINED	The section introduces only $\succeq_i$ at 10098, then maximizes an unintroduced $u_i$.	Either declare $u_i$ represents $\succeq_i$ or state optimization directly with $\succeq_i$.	not:ge-utility-representation
$w_i$ (assigned wealth)	10167	General Equilibrium Theory	Production, ownership, and feasibility	yes	OVERLOADED	Wealth here; input prices and wage used the same letter earlier; observation income later uses $w_i^t$.	Use $m_i$ for consumer wealth and reserve $w$ or $W$ for wages only.	not:assigned-wealth
$M_i$	10244	General Equilibrium Theory	General equilibrium with inattention	no	UNDERDEFINED	Called an attention parameter, but admissible entries, rank, sign, and economic action are left unspecified.	$M_i$ is a declared map from true to perceived prices; state its admissible class and whether it changes only perceived prices.	not:attention-map
$D_i(p,M_i)$	10245	General Equilibrium Theory	General equilibrium with inattention	yes	OVERLOADED	Inattention demand shares $D_i$ with ordinary Walrasian demand at 10487 but has a different signature and budget concept.	Use $D_i^{A}(p;M_i)$ for behavioral demand and $D_i^{W}(p,m)$ for Walrasian demand.	not:attention-demand
$\widetilde p_i$	10251	General Equilibrium Theory	General equilibrium with inattention	yes	OK	Perceived-price vector.	$\widetilde p_i:=M_ip$ is consumer $i$'s perceived price vector.	not:perceived-price
$I_L$	10258	General Equilibrium Theory	General equilibrium with inattention	no	STANDARD	Identity matrix; visually conflicts with consumer count $I$.	$I_L$ is the $L\times L$ identity matrix.	not:identity-matrix
$q$ (common supporting price)	10277	General Equilibrium Theory	General equilibrium with inattention	yes	OVERLOADED	Uses $q$ again, now as a commodity-price vector rather than output or asset prices.	Use $\bar p\gg0$ for the common Pareto-supporting price vector.	not:pareto-support-price
$\mu_i$	10278	General Equilibrium Theory	General equilibrium with inattention	yes	OVERLOADED	Pareto-support multiplier; the letter is heavily reused.	$\mu_i^{P}>0$ is consumer $i$'s Pareto-support multiplier.	not:pareto-multiplier
$\lambda_i$	10282	General Equilibrium Theory	General equilibrium with inattention	yes	OVERLOADED	Behavioral first-order multiplier; the associated constraint is not named.	$\lambda_i^{A}>0$ is consumer $i$'s multiplier in the attention-choice first-order condition.	not:attention-multiplier
$y_2=\sqrt z$	10429	General Equilibrium Theory	Problems	yes	LOCAL_OK	Problem 10.4 technology only; $z$ again means an input.	$y_2=f(z)=\sqrt z$ is output of good 2 from good-1 input in Problem 10.4.	not:problem-10-4-technology
$D_i(p,w_i)$	10501	Positive Theory of Equilibrium	Aggregate excess demand in pure exchange	yes	CONFLICT	Ordinary demand reuses $D_i$ immediately after the inattention chapter used $D_i(p,M_i)$.	$D_i^{W}(p,m):=\arg\max\{u_i(x):x\geq0,\ p\cdot x\leq m\}$.	not:walrasian-demand
$Z(p)$	10510	Positive Theory of Equilibrium	Aggregate excess demand in pure exchange	yes	OK	Uppercase correctly signals a correspondence.	$Z(p):=\sum_iD_i^{W}(p,p\cdot\omega_i)-\{\omega\}$ is aggregate excess-demand correspondence.	not:excess-demand-correspondence
$x_i(p)$	10516	Positive Theory of Equilibrium	Aggregate excess demand in pure exchange	yes	OK	Unique demand selection when $D_i$ is single-valued.	$x_i(p)$ is the unique element of $D_i^{W}(p,p\cdot\omega_i)$.	not:walrasian-demand-function
$z(p)$ (GE excess demand)	10519	Positive Theory of Equilibrium	Aggregate excess demand in pure exchange	yes	OVERLOADED	Vector-valued here and scalar in partial equilibrium.	$z^{GE}(p):=\sum_i x_i(p)-\omega\in\mathbb R^L$.	not:ge-excess-demand
$\Delta$	10552	Positive Theory of Equilibrium	Aggregate excess demand in pure exchange	yes	OVERLOADED	Normalized price simplex here; $\Delta_X$ later is the diagonal relation.	Use $\Delta_p:=\{p\in\mathbb R_+^L:\mathbf1\cdot p=1\}$ for the price simplex.	not:price-simplex
$\mathbf1$	10552	Positive Theory of Equilibrium	Aggregate excess demand in pure exchange	no	STANDARD	All-ones vector is not declared.	$\mathbf1:=(1,\dots,1)\in\mathbb R^L$.	not:ones-vector
$\widehat z$	10616	Positive Theory of Equilibrium	Local uniqueness and regularity	yes	OK	Reduced excess-demand map in the $p_L=1$ chart.	$\widehat z(p_1,\dots,p_{L-1}):=(z_1,\dots,z_{L-1})$.	not:reduced-excess-demand
$D\widehat z$	10622	Positive Theory of Equilibrium	Local uniqueness and regularity	no	STANDARD	Jacobian notation drops the earlier $p$ subscript.	$D\widehat z(p)$ is the $(L-1)\times(L-1)$ Jacobian of the reduced excess-demand map.	not:reduced-jacobian
$\operatorname{sign}\det[-D\widehat z(p^*)]$	10645	Positive Theory of Equilibrium	Local uniqueness and regularity	yes	OK	Signed equilibrium index, conditional on the stated chart orientation.	$\operatorname{ind}(p^*):=\operatorname{sign}\det[-D\widehat z(p^*)]$.	not:equilibrium-index
$D_pz(p)$	10665	Positive Theory of Equilibrium	What equilibrium theory does not identify	no	STANDARD	Price Jacobian; transpose is used correctly in the derivative of Walras' law.	$D_pz(p)$ is the $L\times L$ Jacobian of $z$ with respect to $p$.	not:excess-demand-jacobian
$S$ (coalition)	10733	Positive Theory of Equilibrium	The core	yes	OVERLOADED	Coalition here; state count later and feasible subset in order theory.	$S\subseteq\mathcal I$ is a nonempty coalition; prefer $C$ if state space is also denoted $S$.	not:coalition
strict blocking / strong blocking	10739	Positive Theory of Equilibrium	The core	yes	NOTATION_DRIFT	Main definition requires every member strictly better; Problem 11.4 switches to all weakly and one strictly better under the name strong blocking.	Name the two objects explicitly: $\operatorname{Core}^{\mathrm{strict}}$ and $\operatorname{Core}^{\mathrm{strong}}$.	not:core-conventions
$r$ (replication count)	10771	Positive Theory of Equilibrium	The core	yes	OVERLOADED	Replica count here; capital rental $r_j$ in CGE.	$r\in\mathbb N$ is the number of replicas of each consumer type.	not:replica-count
$T,t$	10987	Testable Restrictions on the Equilibrium Manifold	Observables and the equilibrium manifold	yes	OVERLOADED	Observation count/index; $T_i$ transfers and $T_h$ household transfers elsewhere.	$\mathcal T=\{1,\dots,T\}$ indexes market observations; use $t\in\mathcal T$.	not:observations
$p^t$	10993	Testable Restrictions on the Equilibrium Manifold	Observables and the equilibrium manifold	yes	OK	Observed strictly positive price vector.	$p^t\in\mathbb R_{++}^L$ is the price vector in observation $t$.	not:observed-price
$w_i^t$	10995	Testable Restrictions on the Equilibrium Manifold	Observables and the equilibrium manifold	yes	OVERLOADED	Income here; $w$ already denotes input prices/wage and $w_i$ assigned wealth.	$m_i^t>0$ is observed income of consumer $i$ at observation $t$.	not:observed-income
$\omega^t$	10997	Testable Restrictions on the Equilibrium Manifold	Observables and the equilibrium manifold	yes	OK	Observed aggregate endowment, distinct from latent individual profiles.	$\omega^t\in\mathbb R_+^L$ is aggregate resources in observation $t$.	not:observed-aggregate-endowment
$x_i^t$	11010	Testable Restrictions on the Equilibrium Manifold	Observables and the equilibrium manifold	yes	OK	Latent individual demand bundle.	$x_i^t\in\mathbb R_+^L$ is consumer $i$'s bundle in observation $t$.	not:latent-bundle
$z(\hat\omega,p)$	11028	Testable Restrictions on the Equilibrium Manifold	Observables and the equilibrium manifold	yes	UNDERDEFINED	Called market excess demand but no equation relates it to individual demand at first use.	$z(\hat\omega,p):=\sum_i x_i(p,p\cdot\omega_i)-\sum_i\omega_i$.	not:endowment-excess-demand
$\hat\omega$	11031	Testable Restrictions on the Equilibrium Manifold	Observables and the equilibrium manifold	yes	OK	Latent profile of individual endowments.	$\hat\omega:=(\omega_1,\dots,\omega_I)$, with aggregate $\sum_i\omega_i$.	not:endowment-profile
$\mathcal M$	11035	Testable Restrictions on the Equilibrium Manifold	Observables and the equilibrium manifold	yes	OK	Equilibrium manifold.	$\mathcal M:=\{(\hat\omega,p):z(\hat\omega,p)=0\}$.	not:equilibrium-manifold
$u_i^t$	11048	Testable Restrictions on the Equilibrium Manifold	Afriat inequalities and elimination of unobservables	no	UNDERDEFINED	Utility levels are introduced only by appearing in the inequalities; $u_i$ already denotes a utility function.	$U_i^t\in\mathbb R$ is a latent utility number assigned to $x_i^t$.	not:afriat-utility-level
$\lambda_i^s$	11048	Testable Restrictions on the Equilibrium Manifold	Afriat inequalities and elimination of unobservables	no	LATE_DEFINED	Appears in the inequality before positivity is stated at line 11055.	$\lambda_i^s>0$ is consumer $i$'s Afriat multiplier at observation $s$.	not:afriat-multiplier
